Datetime,Tweet Id,Text,Username
2022-04-01 07:17:39+00:00,1509792091341471749,"['mbanking', 'bca', 'deh']",sebastianbiring
2022-04-01 07:17:02+00:00,1509791936038637568,"['mbanking', 'bca', 'error', 'untung', 'sempet', 'bayar', 'utang']",obliviate__e
2022-04-01 07:16:54+00:00,1509791899292680194,"['mbanking', 'bca', 'gak', 'akses', 'sampe', 'trending']",kitayrunin
2022-04-01 07:16:48+00:00,1509791876651491328,"['mbanking', 'bca', 'sih', 'ah', 'elah']",dinvaley
2022-04-01 07:16:47+00:00,1509791870972481559,"['dispenser', 'bocor', 'dispenser', 'modena', 'dd', 'suv', 'terima', 'kasih', 'pesan', 'service', 'gt', 'lokasi', 'sleman', 'kab', 'https', 'mbanking', 'bca', 'ramadhanpatuhpro']",urgent_id
2022-04-01 07:16:40+00:00,1509791841469693952,"['mbanking', 'bca', 'eror', 'zzzz']",oaftobrk
2022-04-01 07:16:17+00:00,1509791747487920128,"['mbanking', 'bca', 'trendingnya']",gabriellawrdhn
2022-04-01 07:15:56+00:00,1509791656698343430,"['wanita', 'jatuh', 'eskalator', 'mal', 'https', 'wanita', 'unjung', 'mal', 'pertalite', 'lesti', 'mbanking', 'bca', 'persipura', 'melayu', 'april', 'mop', 'april', 'fools', 'marukawa', 'siang', 'https']",tribunpontianak
2022-04-01 07:15:43+00:00,1509791602168184836,"['mbanking', 'bca', 'merah', 'tau', 'error', 'ajg', 'alamat', 'dicarekan', 'ema', 'can', 'babayar']",malikibrahiim26
2022-04-01 07:15:20+00:00,1509791506865209344,"['my', 'mbanking', 'bca', 'is', 'pretty', 'okay', 'i', 'think', 'i', 'was', 'away', 'when', 'the', 'error', 'was', 'occured', 'https']",geniuszeroo
2022-04-01 07:15:01+00:00,1509791427126984704,"['kiraen', 'gua', 'aja', 'yg', 'error', 'udah', 'reset', 'wifi', 'reset', 'data', 'auto', 'cek', 'twitter', 'udh', 'tranding', 'mbankingbca', 'https']",romiarliansyah
2022-04-01 07:14:57+00:00,1509791411251556353,"['dr', 'pagi', 'ga', 'mood', 'makan', 'ken', 'siang', 'minum', 'boba', 'tp', 'mbanking', 'bca']",emasep9
2022-04-01 07:14:50+00:00,1509791379379322884,"['hore', 'balas', 'dendam', 'eee', 'ngumpulin', 'cuan', 'bekal', 'kubur', 'donggg', 'pertalite', 'minyakgoreng', 'sembako', 'mbanking', 'bca', 'ppn']",deatmobatik
2022-04-01 07:14:48+00:00,1509791374715269121,"['jersey', 'messi', 'psg', 'ukur', 'xxs', 'xs', 's', 'm', 'l', 'xl', 'lengan', 'pendek', 'https', 'brimojuaranya', 'april', 'mop', 'ramadhanpatuhprokes', 'jungwoo', 'mbanking', 'bca', 'asitwas', 'pertamax', 'binjinwedding', 'hobi', 'psis', 'persipura', 'ppn', 'april', 'fools', 'https']",EkiEnglandMuse
2022-04-01 07:14:47+00:00,1509791369203642370,"['mbanking', 'bca', 'sih', 'nyaor', 'cicil', 'nih', 'lho', 'gaboleh', 'nyaor', 'cicil']",joyobadik_
2022-04-01 07:14:23+00:00,1509791267881832452,"['aqu', 'kagak', 'mbanking', 'bca', 'pakai', 'kacamata', 'ato', 'copot', 'glasess', 'gak', 'https']",_biz88
2022-04-01 07:14:20+00:00,1509791256888586244,"['mbanking', 'bca', 'eror']",littlevpuff
2022-04-01 07:14:12+00:00,1509791223728713729,"['nunda', 'nunda', 'kerja', 'sih', 'skrg', 'mbanking', 'bca', 'eror', 'mumet']",meyonjune
2022-04-01 07:14:01+00:00,1509791176626343936,"['bonanza', 'bonanzing', 'siang', 'jozzjizz', 'mbanking', 'bca', 'remokk', 'ga', 'iso', 'wedezz', 'https']",txtslots
2022-04-01 07:13:46+00:00,1509791110671253508,"['mbanking', 'bca', 'error']",qsells_
2022-04-01 07:13:44+00:00,1509791103503192065,"['ih', 'tumben', 'banget', 'mbanking', 'bca', 'error', 'br', 'sen', 'delivery', 'food', 'kalo', 'bca', 'yg', 'error', 'suka', 'kaget', 'heran', 'kl', 'bank', 'engga', 'heran', 'kl', 'error']",ridanrpr
2022-04-01 07:13:19+00:00,1509791000415584256,"['mbanking', 'bca', 'error', 'gaiso', 'bayar']",amellaw1
2022-04-01 07:13:13+00:00,1509790973622063107,"['mbanking', 'bca', 'jdi', 'rame', 'gin', 'https']",Gktauaggpusing
2022-04-01 07:12:55+00:00,1509790897289904135,"['ujan', 'deres', 'ga', 'pegang', 'cash', 'pgn', 'shopeefood', 'eh', 'si', 'kampret', 'mbanking', 'bca', 'ganggu', 'laper', 'cok', 'bankbca']",peterpanther_
2022-04-01 07:12:45+00:00,1509790858895577088,"['mbanking', 'bca', 'error', 'untung', 'pake', 'mybca']",bedhillboy
2022-04-01 07:12:26+00:00,1509790778666590209,"['mbanking', 'bca', 'riah', 'april']",anasdkk_
2022-04-01 07:12:26+00:00,1509790776301350913,"['mbanking', 'bca', 'bgcd', 'abis', 'jum', 'atan', 'gabisa']",goooosssseeee
2022-04-01 07:12:06+00:00,1509790693669351428,"['ih', 'error', 'nih', 'mbanking', 'bca', 'mo', 'transfer', 'shopeepay', 'gak', 'gak', 'munggahan', 'murah', 'riah']",niaharyanto
2022-04-01 07:12:05+00:00,1509790689554739208,"['mbanking', 'bca', 'error']",aatanasiaaa
2022-04-01 07:11:40+00:00,1509790582260244483,"['mbanking', 'bca', 'error', 'april', 'mop', 'nama', 'dr', 'zaman', 'kuliah', 'tanggal', 'aja', 'yg', 'error', 'atm', 'indom', 't', 'alfa', 'mbanking', 'aja', 'yg', 'ngalamin', 'ya', 'https']",tantriwriter
2022-04-01 07:11:39+00:00,1509790578187599876,"['eror', 'mbanking', 'bca']",NAnnisa96
2022-04-01 07:11:36+00:00,1509790568746201090,"['jersey', 'home', 'wales', 'ukur', 'xxs', 'xs', 's', 'm', 'l', 'xl', 'xxl', 'bola', 'lengan', 'pendek', 'https', 'brimojuaranya', 'april', 'mop', 'ramadhanpatuhprokes', 'jungwoo', 'mbanking', 'bca', 'asitwas', 'pertamax', 'binjinwedding', 'hobi', 'psis', 'persipura', 'ppn', 'april', 'fools', 'https']",EkiEnglandMuse
2022-04-01 07:11:28+00:00,1509790534415847428,"['mbanking', 'bca', 'yaa', 'saldo', 'kosongg']",pernahgantenxt
2022-04-01 07:11:22+00:00,1509790510743179266,"['sahabat', 'air', 'bersih', 'gejolak', 'trending', 'mbanking', 'bca', 'pertamax', 'psis', 'april', 'fools', 'muhammadiyah', 'minum', 'manis', 'tusuk', 'https']",airkami_id
2022-04-01 07:11:14+00:00,1509790475800428544,"['pas', 'butuh', 'banget', 'mesti', 'error', 'nih', 'mbanking']",nanaaainhere
2022-04-01 07:11:13+00:00,1509790470087458816,"['kemaren', 'mbanking', 'bca', 'error', 'bayar', 'registrasi', 'duhh', 'pusing']",secretlifeofpew
2022-04-01 07:10:42+00:00,1509790341955993600,"['panik', 'mbanking', 'bca', 'merah', 'gataunya', 'update', 'doang', 'lg']",BINCHANLOVER
2022-04-01 07:10:40+00:00,1509790331369271299,"['mbanking', 'bca', 'eror', 'oi']",_44xxx_
2022-04-01 07:10:30+00:00,1509790291812765696,"['mbanking', 'bca', 'error', 'saat', 'gatepat']",slcivisl
2022-04-01 07:10:28+00:00,1509790283373809672,"['syukur', 'mbanking', 'bca', 'ku', 'ngga', 'nge', 'lag', 'ya', 'https']",nachimbongharu
2022-04-01 07:10:26+00:00,1509790272980680705,"['mbanking', 'bca', 'what', 'wrong', 'with', 'u']",kyvngja
2022-04-01 07:10:11+00:00,1509790211735437319,"['mbanking', 'bca', 'top', 'up', 'go', 'pay', 'pas', 'udah', 'hasil', 'langsung', 'eror', 'xd']",Kaisakaffm
2022-04-01 07:10:05+00:00,1509790185541701633,"['liat', 'trending', 'mbanking', 'bca', 'pantes', 'close', 'app', 'mulu']",aldinorzki
2022-04-01 07:09:55+00:00,1509790143842242564,"['mbanking', 'bca', 'mesti', 'banget', 'error', 'tanggal', 'gaji', 'sihhh']",desialdiana
2022-04-01 07:09:37+00:00,1509790067262377988,"['free', 'busd', 'https', 'mbanking', 'bca', 'bakalkangenbi', 'ppn', 'pertalite', 'prokes', 'tarawih']",zplatedotnet
2022-04-01 07:09:33+00:00,1509790052989403136,"['mbanking', 'bca', 'error', 'ya', 'cek', 'udah', 'gaji', 'nih']",cunul99
2022-04-01 07:09:01+00:00,1509789917660221440,"['mbanking', 'bca', 'eror', 'nya', 'kaga', 'ngotak', 'anji', 'hujan', 'semalem']",arescience
2022-04-01 07:08:55+00:00,1509789890858618882,"['mbanking', 'bca', 'deh']",jenaandeera
2022-04-01 07:08:39+00:00,1509789824323973122,"['mbanking', 'bca', 'ramah']",quixoticboi
2022-04-01 07:08:36+00:00,1509789813364633601,"['mbanking', 'bca', 'eror', 'mulu', 'ni', 'gimana', 'gue', 'jajan', 'https']",ShelaSkydapp
2022-04-01 07:08:33+00:00,1509789798034157573,"['udah', 'panik', 'anjrottt', 'cek', 'saldo', 'indikator', 'ga', 'ijo', 'iseng', 'buka', 'twitter', 'mbanking', 'bca', 'error']",arrrrpitriya
2022-04-01 07:08:21+00:00,1509789749195997184,"['mbanking', 'bca', 'ngapa', 'dah', 'yaallah', 'eror', 'mulu', 'gabisa', 'puji', 'dikit']",zatadiktifff
2022-04-01 07:08:18+00:00,1509789736420130817,"['mbanking', 'bca', 'gabisa', 'buka', 'lgsg', 'cek', 'twitter', 'ternyt', 'jg']",pancindomiesoto
2022-04-01 07:07:56+00:00,1509789646095798274,"['mbanking', 'bca', 'knpa', 'sih']",WidyaNugraheni
2022-04-01 07:07:53+00:00,1509789630249373700,"['mbanking', 'bca', 'error', 'mulu']",dinahrdlh
2022-04-01 07:07:37+00:00,1509789563006648321,"['udah', 'gaes', 'mbanking', 'bca']",ahfckkk
2022-04-01 07:07:34+00:00,1509789550985748483,"['mbanking', 'bca', 'error', 'ya']",kseokjin_purple
2022-04-01 07:07:30+00:00,1509789535341023240,"['haduhhh', 'transfer', 'gimana', 'mbanking', 'bca', 'transfer', 'error', 'huhu', 'ketar', 'tir', 'dah']",Fightmyshitlife
2022-04-01 07:07:28+00:00,1509789528839831554,"['jersey', 'away', 'wales', 'ukur', 'xxs', 'xs', 's', 'm', 'l', 'xl', 'xxl', 'kaos', 'bola', 'lengan', 'pendek', 'https', 'brimojuaranya', 'april', 'mop', 'ramadhanpatuhprokes', 'jungwoo', 'mbanking', 'bca', 'asitwas', 'pertamax', 'binjinwedding', 'hobi', 'psis', 'persipura', 'ppn', 'april', 'fools', 'https']",EkiEnglandMuse
2022-04-01 07:07:22+00:00,1509789502394740736,"['astaga', 'kiri', 'ku', 'aja', 'mbanking', 'bca', 'error', 'malam', 'tumben', 'bca']",nescafelatte08
2022-04-01 07:07:11+00:00,1509789454344458241,"['mbanking', 'bca', 'eror', 'hey', 'masalah']",sewudolar
2022-04-01 07:07:09+00:00,1509789448531505158,"['mbanking', 'bca', 'erorr', 'gue', 'bayar', 'tagih', 'pake', 'woy']",NyCleciel
2022-04-01 07:07:08+00:00,1509789443854458881,"['mbanking', 'bca', 'error', 'maneh', 'piye', 'dagangankuuu', 'https']",eniiwe
2022-04-01 07:06:49+00:00,1509789364066340896,"['mbanking', 'bca', 'error', 'yak', 'dr', 'ga', 'login']",Dinosapta
2022-04-01 07:06:46+00:00,1509789351986987010,"['mbanking', 'bca', 'monyeeeet', 'knp', 'gabisa', 'akses', 'dr', 'pagi', 'bom', 'makan', 'tanggung', 'kah']",kecidut
